"login","Login"
"logout","Logout"
"or","or"
"sign_up","Sign up"
"email","Email"
"password","Password"
"remember_me","Remember me"
"forgot_password?","Forgot your password?"
"reset_your_password","Reset your password"
"get_new_password_by_filling_form","Get a new password by filling out the form below."
"reset_password","Reset password"
"change_password","Change password"
"first_name","First name"
"last_name","Last name"
"email_address","Email address"
"confirm_password","Confirm password"
"i_agree","I agree"
"create_account","Create account"
"register_terms_agree","By clicking <strong class=\"label label-primary\">Register</strong>, you agree to the"
"terms_and_conditions","Terms and Conditions"
"member_register_success","You account was created successfully and must be activated by site stuff."
"member_register_success_activate","You account was created successfully. You can login with your email and password."
"member_register_success_confirm","You account was created successfully. Check your email and confirm your account by clicking activation link."
"member_confirm_link_invalid","Invalid confirmation link."
"member_confirm_success","Your account is now active, you can login using email and password."
"member_password_request_email_invalid","Provide valid email address."
"member_password_request_email_not_exist","User with given email not exist."
"member_password_request_success","Password reset confirmation was sent to given email address."
"member_password_reset_link_invalid","Invalid password reset link."
"member_password_reset_success","Your password has been successfully changed."
"do_you_have_an_account?","Do you have an account?"
"not_a_member_yet?","Not a member yet?"
"you_are_logged_in_as","You are logged in as"
