"plugin_member_install_successful","Member plugin installed successfully."
"plugin_member_install_failed","Could not install Member plugin. See log for more details."
"plugin_member_uninstall_successful","Successfully uninstalled Member plugin."
"plugin_member_uninstall_failed","Could not uninstall Blog plugin. See log for more details."
"member_register_success","You account was created successfully and must be activated by site stuff."
"member_register_success_activate","You account was created successfully. You can login with your email and password."
"member_register_success_confirm","You account was created successfully. Check your email and confirm your account by clicking activation link."
"member_confirm_link_invalid","Invalid confirmation link."
"member_confirm_success","Your account is now active, you can login using email and password."
"member_password_request_email_invalid","Provide valid email address."
"member_password_request_email_not_exist","User with given email not exist."
"member_password_request_success","Password reset confirmation was sent to given email address."
"member_password_reset_link_invalid","Invalid password reset link."
